SourceFile,Api,BitsPerSample,BlueMatrixColumn,BlueTRC,CMMFlags,ColorComponents,ColorSpaceData,Compression,ConnectionSpaceIlluminant,Coverage,CreatorTool,Description-nl,DeviceAttributes,DeviceManufacturer,DeviceModel,Directory,DocumentID,DocumentName,EncodingProcess,ExifByteOrder,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GreenMatrixColumn,GreenTRC,HistoryAction,HistoryChanged,HistoryInstanceID,HistorySoftwareAgent,HistoryWhen,Identifier,ImageHeight,ImageSize,ImageWidth,InstanceID,JFIFVersion,MediaBlackPoint,MediaWhitePoint,Megapixels,MIMEType,ModifyDate,Orientation,OriginalDocumentID,Padding,PhotometricInterpretation,Platform,PrimaryPlatform,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,ResolutionUnit,SampleFormat,SamplesPerPixel,Software,SubfileType,ThumbnailImage,ThumbnailLength,ThumbnailOffset,TimeStamp,Title-nl,Version,XMPToolkit,XResolution,YCbCrSubSampling,YResolution
werkbestanden/ODB00448.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1970-1980,,"Dia van de schuur langs de Zeeweg die de laatste restant is van een vroegere hoeve, [1970-1980].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,X:\Collectie_ODB_Fotos\ODB00448.tif,"Progressive DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:09+02:00,2019:05:08 13:58:09+02:00,ODB00448.jpg,rwxr-xr-x,4.4 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00448,4719,7084x4719,7084,,1.01,0 0 0,0.95045 1 1.08905,33.4,image/jpeg,2019:05:02 13:31:30,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 13206 bytes),13206,9070,,Roksem: Schuur langs de Zeeweg,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00449.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1970-1980,,"Dia van een winters landschap met centraal in beeld de schuur langs de Zeeweg die de laatste restant is van een vroegere hoeve, [1970-1980].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,X:\Collectie_ODB_Fotos\ODB00449.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:10+02:00,2019:05:08 13:58:10+02:00,ODB00449.jpg,rwxr-xr-x,38 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00449,4730,7029x4730,7029,,1.01,0 0 0,0.95045 1 1.08905,33.2,image/jpeg,2019:05:02 13:25:49,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 7390 bytes),7390,9070,,Roksem: Schuur langs de Zeeweg,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00447.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1970-1980,,"Dia van de velden in Roksem, met links op de achtergrond de witte molen van Roksem. De schuur rechts in beeld is de laatste restant van een vroegere hoeve dewelke zichtbaar is op de Ferrarisatlas. [1970-1980].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:09+02:00,2019:05:08 13:58:09+02:00,ODB00447.jpg,rwxr-xr-x,41 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00447,4815,7222x4815,7222,,1.01,0 0 0,0.95045 1 1.08905,34.8,image/jpeg,2019:05:02 13:25:42,,,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,,3,GIMP 2.10.6,,(Binary data 10025 bytes),10025,8980,,Roksem: Witte Molen Roksem,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00446.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1980-1990,,Dia van de Witte molen van Roksem. Op de achtergrond bevinden zich de zendmast en de watertoren op de Roksemberg.,"Reflective, Glossy, Positive, Color",none,,werkbestanden,,X:\Collectie_ODB_Fotos\ODB00446.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:09+02:00,2019:05:08 13:58:09+02:00,ODB00446.jpg,rwxr-xr-x,42 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00446,4653,6996x4653,6996,,1.01,0 0 0,0.95045 1 1.08905,32.6,image/jpeg,2019:05:02 13:25:32,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 9665 bytes),9665,9070,,Roksem: Witte Molen Roksem,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00444.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1965-1975,,"Dia van de Witte molen van Roksem, genomen vanaf de Zeeweg, [1965-1975].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,C:\Users\Niels\Desktop\Scan-Output\ODB01053.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:09+02:00,2019:05:08 13:58:09+02:00,ODB00444.jpg,rwxr-xr-x,42 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00444,6924,4590x6924,4590,,1.01,0 0 0,0.95045 1 1.08905,31.8,image/jpeg,2019:05:02 13:25:18,Horizontal (normal),,(Binary data 4122 bytes),YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 10805 bytes),10805,17372,,Roksem: Witte Molen Roksem,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00450.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1975-1990,,Dia van de moerbeiboom langs de Zeeweg. [1975-1990].,"Reflective, Glossy, Positive, Color",none,,werkbestanden,,X:\Collectie_ODB_Fotos\ODB00450.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:10+02:00,2019:05:08 13:58:10+02:00,ODB00450.jpg,rwxr-xr-x,43 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00450,4642,7198x4642,7198,,1.01,0 0 0,0.95045 1 1.08905,33.4,image/jpeg,2019:05:02 13:25:55,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 15489 bytes),15489,9070,,Roksem: Moerbeiboom,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00451.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1970-1980,,"Dia van de Waerevaart en de Waerebrug, genomen vanaf de Waerevaartstraat, [1970-1980].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,C:\Users\Niels\Desktop\Scan-Output\ODB01060.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:10+02:00,2019:05:08 13:58:10+02:00,ODB00451.jpg,rwxr-xr-x,38 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00451,4642,7040x4642,7040,,1.01,0 0 0,0.95045 1 1.08905,32.7,image/jpeg,2019:05:02 13:26:02,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 6173 bytes),6173,9082,,Westkerke: Waerebrug,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00445.jpg,,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1965-1975,,"Dia van de Witte molen van Roksem, genomen vanaf de Ossenweg, [1965-1975].","Reflective, Glossy, Positive, Color",none,,werkbestanden,,C:\Users\Niels\Desktop\Scan-Output\ODB01054.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:09+02:00,2019:05:08 13:58:09+02:00,ODB00445.jpg,rwxr-xr-x,40 MB,JPEG,jpg,,0.38515 0.71687 0.09708,(Binary data 8204 bytes),,,,,,ODB00445,4565,6888x4565,6888,,1.01,0 0 0,0.95045 1 1.08905,31.4,image/jpeg,2019:05:02 13:25:25,Horizontal (normal),,,YCbCr,,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 7407 bytes),7407,9082,,Roksem: Witte Molen Roksem,,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00442.jpg,2.0,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1965-1975,GIMP 2.10,"Dia van de Vanderkinderenweg in Roksem omzoomd door een bomenrij, genomen vanaf de Zeeweg. [1965-1975].","Reflective, Glossy, Positive, Color",none,,werkbestanden,gimp:docid:gimp:c2c0e4bb-8848-4772-9dde-f9c1d1234206,C:\Users\Niels\Desktop\Scan-Output\ODB01051.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:08+02:00,2019:05:08 13:58:08+02:00,ODB00442.jpg,rwxr-xr-x,48 MB,JPEG,jpg,image/jpeg,0.38515 0.71687 0.09708,(Binary data 8204 bytes),"saved, saved","/, /","xmp.iid:ff8956dc-e281-4ecf-9651-e1d466f4813f, xmp.iid:afb1b3d9-1b38-4b4f-8655-e66d78b49136","Gimp 2.10 (Windows), Gimp 2.10 (Windows)","2019:03:26 21:38:26, 2019:05:02 13:25:08",ODB00442,7199,4799x7199,4799,xmp.iid:4df3d8cb-32b4-4986-ae07-79f1b558b572,1.01,0 0 0,0.95045 1 1.08905,34.5,image/jpeg,2019:05:02 13:25:04,Horizontal (normal),xmp.did:d3ce966b-45cb-4868-9d0b-d39b5770ee49,(Binary data 4122 bytes),YCbCr,Windows,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 13604 bytes),13604,17372,1556796308470659,Roksem: Vanderkinderenweg,2.10.6,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
werkbestanden/ODB00443.jpg,2.0,8,0.14307 0.06061 0.7141,(Binary data 8204 bytes),"Not Embedded, Independent",3,"RGB ",JPEG (old-style),0.9642 1 0.82491,1965-1975,GIMP 2.10,Dia van de Vanderkinderenweg in Roksem omzoomd door een bomenrij. [1965-1975].,"Reflective, Glossy, Positive, Color",none,,werkbestanden,gimp:docid:gimp:bb74e3ca-4644-449c-8b0c-7b47f9ae7047,C:\Users\Niels\Desktop\Scan-Output\ODB01052.tif,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",10.61,2019:05:08 13:58:36+02:00,2019:05:08 13:58:08+02:00,2019:05:08 13:58:08+02:00,ODB00443.jpg,rwxr-xr-x,47 MB,JPEG,jpg,image/jpeg,0.38515 0.71687 0.09708,(Binary data 8204 bytes),"saved, saved","/, /","xmp.iid:bd8e6e40-b23e-4675-95e9-30fc0716518d, xmp.iid:84b99cb2-5bf1-41c6-96b0-c5034a652bcc","Gimp 2.10 (Windows), Gimp 2.10 (Windows)","2019:03:26 21:39:18, 2019:05:02 13:25:15",ODB00443,7180,4786x7180,4786,xmp.iid:26c6211a-ddb3-495d-b513-3623b7967fce,1.01,0 0 0,0.95045 1 1.08905,34.4,image/jpeg,2019:05:02 13:25:11,Horizontal (normal),xmp.did:99103ba3-55a5-4e0d-ba25-a43c65fcac53,(Binary data 4122 bytes),YCbCr,Windows,Apple Computer Inc.,Display Device Profile,APPL,"XYZ ",Copyright (c) SEIKO EPSON CORPORATION 2000 - 2006. All rights reserved.,EPSO,2006:02:02 02:20:00,EPSON  sRGB,acsp,0,2.2.0,0.43607 0.22249 0.01392,(Binary data 8204 bytes),Perceptual,inches,Unsigned; Unsigned; Unsigned,3,GIMP 2.10.6,Full-resolution Image,(Binary data 12461 bytes),12461,17372,1556796315663938,Roksem: Vanderkinderenweg,2.10.6,Image::ExifTool 10.61,1200,YCbCr4:4:4 (1 1),1200
